hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2408.3, -2.87179, 2503.11, -121.159, 2387.87, 118.291, 122.925, -12.2487, 21.8863, -79.312, 77.3864, 98.8761
2, 0.00000, 2406.55, -2.65618, 2490.51, -121.085, 2388.74, 118.398, 112.377, -10.8719, 21.6483, -75.0292, 70.1621, 100.769
3, 0.00000, 2420.51, -2.41221, 2492.86, -120.992, 2389.77, 118.503, 101.171, -9.02236, 21.6679, -70.0291, 63.0153, 103.074
4, 0.00000, 2418.47, -2.18745, 2480.29, -120.921, 2406.16, 118.632, 90.8105, -7.05343, 21.6897, -65.6211, 55.5699, 106.309
5, 0.00000, 2416.49, -1.969, 2482.95, -120.834, 2406.83, 118.748, 80.5634, -4.6479, 22.0091, -60.7212, 48.7995, 109.996
6, 0.00000, 2404.99, -2.15841, 2481.57, -120.85, 2392.02, 118.687, 85.3463, -7.5625, 18.8781, -49.7064, 50.1215, 104.547
7, 0.00000, 2385.43, -2.70772, 2477.14, -120.897, 2362.35, 118.509, 100.674, -14.5374, 16.5281, -0.129172, 56.6744, 90.5655
8, 0.00000, 2383.78, -3.16775, 2488.44, -120.843, 2333.14, 118.372, 110.499, -20.418, 31.5485, 39.0727, 62.2116, 76.8975
9, 0.00000, 2365.27, -3.67467, 2500.6, -120.795, 2318.47, 118.275, 123.276, -25.4127, 51.6873, 50.8452, 70.3288, 66.1113
10, 0.00000, 2361.39, -3.91417, 2499.18, -120.667, 2304.99, 118.265, 124.365, -29.6143, 73.7923, 55.3519, 73.5892, 55.5665
11, 0.00000, 2352.45, -4.28759, 2511.66, -120.664, 2287.9, 118.142, 137.455, -31.3703, 84.2925, 57.2898, 84.0112, 54.0622
12, 0.00000, 2356, -4.42663, 2509.61, -120.678, 2287.81, 118.093, 142.854, -32.1718, 89.1624, 58.1641, 88.5, 53.0919
13, 0.00000, 2353.69, -4.69434, 2521.07, -120.831, 2270.52, 117.922, 159.706, -31.0115, 81.8555, 58.7209, 97.8392, 58.2998
14, 0.00000, 2333.7, -5.03935, 2518.5, -121.024, 2267.02, 117.8, 179.656, -30.1205, 74.0664, 59.3975, 107.934, 62.4415
15, 0.00000, 2345.75, -4.87816, 2518.6, -121.062, 2280.19, 117.778, 177.089, -28.6494, 62.7105, 58.3482, 107.939, 66.0414
16, 0.00000, 2351.65, -4.84096, 2516.9, -121.267, 2291.06, 117.658, 186.729, -25.8877, 38.6739, 56.0259, 115.336, 73.7213
17, 0.00000, 2357.05, -4.80391, 2515.2, -121.48, 2302.85, 117.552, 197.002, -23.3919, 14.9141, 46.9509, 123.834, 80.4104
18, 0.00000, 2329.63, -5.51707, 2521.39, -121.97, 2277.51, 117.135, 245.494, -22.7834, 13.445, -119.581, 159.188, 85.0784
19, 0.00000, 2276.72, -6.32836, 2539.34, -122.438, 2228.71, 116.738, 290.399, -23.5717, 30.5347, -128.244, 187.595, 86.0156
20, 0.00000, 2236.01, -6.96951, 2538.72, -122.828, 2184.7, 116.414, 322.5, -24.3916, 41.3783, -132.186, 210.326, 85.9033
21, 0.00000, 2261.42, -6.5753, 2548.42, -122.602, 2213.05, 116.589, 304.576, -23.6788, 38.5001, -129.059, 198.374, 86.4837
22, 0.00000, 2321.61, -5.69185, 2548.43, -122.163, 2273.73, 116.986, 263.214, -21.9002, 32.8026, -121.258, 173.524, 87.911
23, 0.00000, 2369.64, -4.479, 2530.61, -121.723, 2330.09, 117.503, 201.953, -18.8343, 26.6029, -107.522, 132.789, 90.8036
24, 0.00000, 2397.06, -3.54541, 2510.54, -121.406, 2368.55, 117.955, 155.896, -15.5951, 23.1665, -92.649, 100.289, 94.5462
