hour, t(sec), V1, VAngle1, I1, IAngle1
1, 0.00000, 2347.89, 118.144, 44.2163, -72.5653
2, 0.00000, 2365.82, 118.279, 40.0175, -70.7451
3, 0.00000, 2383.48, 118.412, 35.9366, -68.5752
4, 0.00000, 2400.94, 118.544, 31.9663, -65.9273
5, 0.00000, 2402.44, 118.664, 28.3131, -62.9668
6, 0.00000, 2385.12, 118.532, 32.1811, -66.2259
7, 0.00000, 2347.89, 118.144, 44.2145, -72.5646
8, 0.00000, 2325.45, 117.78, 56.5184, -76.2405
9, 0.00000, 2301.88, 117.43, 69.2235, -78.7559
10, 0.00000, 2280.19, 117.171, 78.0861, -80.12
11, 0.00000, 2274.44, 116.98, 86.025, -81.0636
12, 0.00000, 2258.22, 116.878, 89.3898, -81.4855
13, 0.00000, 2255.38, 116.805, 93.3072, -81.8555
14, 0.00000, 2239.32, 116.733, 96.5807, -82.1955
15, 0.00000, 2255.63, 116.81, 93.3192, -81.8507
16, 0.00000, 2272.09, 116.891, 90.0014, -81.4771
17, 0.00000, 2291.47, 117.017, 85.8089, -80.9547
18, 0.00000, 2255.63, 116.809, 93.3196, -81.8515
19, 0.00000, 2207.57, 116.493, 102.961, -82.9091
20, 0.00000, 2163, 116.213, 112.244, -83.7777
21, 0.00000, 2192.59, 116.398, 106.106, -83.2147
22, 0.00000, 2255.87, 116.814, 93.3309, -81.8462
23, 0.00000, 2316.41, 117.359, 72.7371, -79.2103
24, 0.00000, 2358.39, 117.835, 55.6336, -75.8427
