hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2408.33, -2.87064, 2503.06, -121.159, 2387.9, 118.29, 141.44, -23.9568, 21.8863, -79.312, 109.851, 101.058
2, 0.00000, 2406.58, -2.65512, 2490.46, -121.085, 2388.77, 118.397, 128.874, -22.7976, 21.6483, -75.0292, 100.017, 102.447
3, 0.00000, 2420.54, -2.41125, 2492.82, -120.992, 2389.79, 118.502, 115.559, -21.2551, 21.6679, -70.0291, 90.143, 104.148
4, 0.00000, 2418.48, -2.1866, 2480.25, -120.921, 2406.18, 118.631, 103.077, -19.5608, 21.6897, -65.6211, 79.9571, 106.426
5, 0.00000, 2416.51, -1.96824, 2482.91, -120.834, 2406.85, 118.747, 90.7835, -17.4953, 22.0091, -60.7212, 70.471, 109.025
6, 0.00000, 2405.01, -2.15754, 2481.53, -120.85, 2392.04, 118.686, 98.0216, -20.7431, 18.8781, -49.7063, 74.6337, 105.267
7, 0.00000, 2385.46, -2.70653, 2477.08, -120.897, 2362.38, 118.508, 121.001, -28.051, 16.5281, -0.129171, 88.8558, 96.3943
8, 0.00000, 2383.81, -3.16623, 2488.37, -120.843, 2333.18, 118.371, 139.301, -34.2038, 31.5485, 39.0727, 100.379, 88.6004
9, 0.00000, 2365.3, -3.6728, 2500.52, -120.795, 2318.51, 118.274, 160.763, -38.8924, 51.6873, 50.8452, 113.296, 82.544
10, 0.00000, 2361.43, -3.91207, 2499.09, -120.667, 2305.05, 118.263, 168.675, -42.9746, 73.7923, 55.3519, 117.213, 77.0246
11, 0.00000, 2352.5, -4.28524, 2511.55, -120.665, 2287.96, 118.14, 187.261, -44.2836, 84.2925, 57.2898, 131.326, 75.6225
12, 0.00000, 2356.04, -4.42418, 2509.5, -120.678, 2287.87, 118.09, 195.285, -44.9206, 89.1624, 58.1641, 137.341, 74.8956
13, 0.00000, 2353.73, -4.6918, 2520.95, -120.831, 2270.58, 117.92, 213.622, -43.5111, 81.8555, 58.7209, 151.751, 77.2995
14, 0.00000, 2333.75, -5.03668, 2518.38, -121.024, 2267.08, 117.797, 234.963, -42.2704, 74.0664, 59.3975, 166.575, 79.1113
15, 0.00000, 2345.8, -4.87562, 2518.49, -121.062, 2280.25, 117.776, 228.91, -40.8602, 62.7105, 58.3482, 165.562, 80.9253
16, 0.00000, 2351.7, -4.83856, 2516.79, -121.267, 2291.12, 117.656, 234.018, -37.8276, 38.6739, 56.0259, 173.397, 84.8783
17, 0.00000, 2357.1, -4.80165, 2515.1, -121.48, 2302.91, 117.55, 239.993, -34.9131, 14.9141, 46.9509, 181.306, 88.5334
18, 0.00000, 2329.68, -5.5146, 2521.28, -121.97, 2277.57, 117.133, 291.417, -33.3965, 13.445, -119.581, 223.963, 90.8448
19, 0.00000, 2276.78, -6.3256, 2539.22, -122.438, 2228.76, 116.735, 343.128, -33.8952, 30.5347, -128.244, 262.426, 91.2257
20, 0.00000, 2236.07, -6.96649, 2538.59, -122.828, 2184.76, 116.411, 380.52, -34.5317, 41.3782, -132.186, 292.347, 90.9283
21, 0.00000, 2261.48, -6.57247, 2548.3, -122.602, 2213.11, 116.586, 358.974, -33.8974, 38.5, -129.059, 275.968, 91.4247
22, 0.00000, 2321.67, -5.6894, 2548.32, -122.163, 2273.79, 116.984, 308.103, -32.0998, 32.8026, -121.258, 239.185, 92.5057
23, 0.00000, 2369.68, -4.47712, 2530.53, -121.723, 2330.13, 117.501, 235.409, -29.4998, 26.6029, -107.522, 184.162, 94.8629
24, 0.00000, 2397.09, -3.54396, 2510.47, -121.406, 2368.58, 117.953, 180.675, -26.7689, 23.1665, -92.649, 140.74, 97.8015
