hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 296.039, 9.37694, 54.7838, -41.847, 184.789, 19.4152
2, 0.00000, 270.441, 8.2157, 53.9154, -46.0556, 167.599, 17.6281
3, 0.00000, 244.885, 6.61016, 54.015, -50.9627, 150.592, 15.4289
4, 0.00000, 219.622, 4.86598, 53.7968, -55.2996, 133.71, 12.3231
5, 0.00000, 194.681, 2.6789, 54.6473, -60.1129, 117.452, 8.75169
6, 0.00000, 205.257, 5.40409, 46.8473, -71.1437, 119.892, 14.1406
7, 0.00000, 240.15, 11.8297, 40.9423, -120.768, 133.885, 27.9432
8, 0.00000, 263.406, 17.2503, 78.5067, -159.915, 145.149, 41.4748
9, 0.00000, 291.579, 21.738, 129.25, -171.64, 163.055, 52.1641
10, 0.00000, 293.674, 25.7001, 184.421, -176.019, 169.623, 62.6985
11, 0.00000, 323.357, 27.0828, 211.714, -177.954, 192.209, 64.0803
12, 0.00000, 336.565, 27.7452, 223.763, -178.842, 202.471, 65.0008
13, 0.00000, 375.898, 26.3171, 206.363, -179.552, 222.146, 59.6223
14, 0.00000, 419.264, 25.0812, 186.536, 179.579, 244.689, 55.3583
15, 0.00000, 415.406, 23.7713, 157.943, -179.41, 246.121, 51.7365
16, 0.00000, 439.122, 21.0467, 97.3382, -177.293, 264.242, 43.9368
17, 0.00000, 464.345, 18.588, 37.5119, -168.431, 285.172, 37.1413
18, 0.00000, 571.912, 17.2663, 33.9001, -2.38913, 362.553, 32.0567
19, 0.00000, 661.157, 17.2434, 77.5381, 5.80531, 418.094, 30.7226
20, 0.00000, 721.111, 17.4221, 105.048, 9.35845, 459.499, 30.5109
21, 0.00000, 688.773, 17.1035, 98.1144, 6.45734, 439.01, 30.1056
22, 0.00000, 611.081, 16.2084, 83.5952, -0.904489, 394.547, 29.0752
23, 0.00000, 478.557, 14.3553, 67.3217, -14.2009, 309.41, 26.6991
24, 0.00000, 373.693, 12.0497, 58.1603, -28.7566, 237.539, 23.4085
