hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 708.619, 27.3393, 293.379, 20.6135, 637.993, 22.2795
2, 0.00000, 646.022, 26.7955, 266.493, 19.4439, 580.985, 21.4507
3, 0.00000, 583.872, 26.0803, 239.978, 17.8583, 523.079, 20.4238
4, 0.00000, 521.062, 25.2938, 213.215, 16.0591, 467.385, 19.0975
5, 0.00000, 458.968, 24.3353, 187.752, 13.6384, 411.102, 17.5568
6, 0.00000, 507.561, 26.0145, 199.168, 17.2806, 453.457, 19.7792
7, 0.00000, 656.945, 29.5149, 237.171, 25.9908, 585.436, 24.402
8, 0.00000, 796.876, 32.228, 265.957, 33.9855, 708.385, 27.7824
9, 0.00000, 939.345, 34.1529, 299.098, 40.5064, 836.953, 30.1596
10, 0.00000, 1019.83, 35.6986, 308.734, 46.7632, 908.575, 31.9297
11, 0.00000, 1126.4, 36.2447, 341.752, 48.6552, 1004.61, 32.6439
12, 0.00000, 1179.09, 36.5069, 357.743, 49.3999, 1052.6, 32.9651
13, 0.00000, 1258.52, 36.0783, 396.501, 46.7207, 1115.54, 32.5278
14, 0.00000, 1339.38, 35.6847, 436.272, 44.345, 1188.07, 32.2198
15, 0.00000, 1296, 35.1234, 430.245, 42.1337, 1158.34, 31.5955
16, 0.00000, 1279.62, 33.9069, 450.364, 37.3068, 1150.46, 30.2963
17, 0.00000, 1264.39, 32.6434, 473.524, 32.951, 1140.46, 28.947
18, 0.00000, 1450.19, 31.9522, 587.589, 29.886, 1305.24, 28.3136
19, 0.00000, 1651.82, 32.2128, 710.926, 29.2967, 1477.04, 28.4594
20, 0.00000, 1805.08, 32.3546, 818.081, 29.4309, 1615.73, 29.0457
21, 0.00000, 1710.56, 32.1642, 758.355, 28.9607, 1531.71, 28.5129
22, 0.00000, 1486.81, 31.2884, 635.826, 27.8116, 1338.59, 27.6087
23, 0.00000, 1157.27, 29.9975, 488.431, 25.8146, 1048.21, 26.0579
24, 0.00000, 899.306, 28.6781, 374.788, 23.4154, 812.13, 24.2495
