hour, t(sec), Tap (pu)
1, 0.00000, 1.05
2, 0.00000, 1.04375
3, 0.00000, 1.04375
4, 0.00000, 1.0375
5, 0.00000, 1.0375
6, 0.00000, 1.0375
7, 0.00000, 1.0375
8, 0.00000, 1.04375
9, 0.00000, 1.05
10, 0.00000, 1.05
11, 0.00000, 1.05625
12, 0.00000, 1.05625
13, 0.00000, 1.0625
14, 0.00000, 1.0625
15, 0.00000, 1.0625
16, 0.00000, 1.0625
17, 0.00000, 1.0625
18, 0.00000, 1.06875
19, 0.00000, 1.08125
20, 0.00000, 1.0875
21, 0.00000, 1.0875
22, 0.00000, 1.08125
23, 0.00000, 1.06875
24, 0.00000, 1.05625
