Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Transformer.SUB"       ,   1,      2553.3,      1437.7,         0.0,         0.0,         0.0,         0.0
"Transformer.SUB"       ,   2,     -2518.0,     -1436.3
"Transformer.REG1"      ,   1,       926.2,       564.7,         0.0,         0.0,         0.0,         0.0
"Transformer.REG1"      ,   2,      -923.3,      -564.3
"Transformer.REG2"      ,   1,       678.2,       329.2,         0.0,         0.0,         0.0,         0.0
"Transformer.REG2"      ,   2,      -676.8,      -329.0
"Transformer.REG3"      ,   1,       913.6,       542.4,         0.0,         0.0,         0.0,         0.0
"Transformer.REG3"      ,   2,      -910.8,      -542.1
"Transformer.XFM1"      ,   1,       303.0,       223.0,         0.0,         0.0,         0.0,         0.0
"Transformer.XFM1"      ,   2,      -300.0,      -217.5
"Line.650632"           ,   1,      2510.9,      1435.4,       150.9,        86.2,         0.0,         0.0
"Line.650632"           ,   2,     -2478.6,     -1331.9
"Line.632671"           ,   1,      1873.4,       914.1,         0.0,         0.0,         0.0,         0.0
"Line.632671"           ,   2,     -1852.7,      -848.8
"Line.671680"           ,   1,         0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
"Line.671680"           ,   2,        -0.0,         0.0
"Line.632633"           ,   1,       303.4,       223.5,         0.0,         0.0,         0.0,         0.0
"Line.632633"           ,   2,      -303.0,      -223.0
"Line.632645"           ,   1,       301.8,       194.3,         0.0,         0.0,         0.0,         0.0
"Line.632645"           ,   2,      -300.3,      -193.0
"Line.645646"           ,   1,       172.8,        99.2,         0.0,         0.0,         0.0,         0.0
"Line.645646"           ,   2,      -172.5,       -99.0
"Line.671684"           ,   1,       224.6,        96.2,         0.0,         0.0,         0.0,         0.0
"Line.671684"           ,   2,      -224.2,       -95.9
"Line.684611"           ,   1,       127.7,        31.3,         0.0,         0.0,         0.0,         0.0
"Line.684611"           ,   2,      -127.5,       -31.0
"Line.684652"           ,   1,        96.5,        64.6,         0.0,         0.0,         0.0,         0.0
"Line.684652"           ,   2,       -96.0,       -64.5
"Line.692675"           ,   1,       634.4,       144.4,         0.0,         0.0,         0.0,         0.0
"Line.692675"           ,   2,      -632.2,      -143.2
"Line.671692"           ,   1,       761.9,       257.7,         0.0,         0.0,         0.0,         0.0
"Line.671692"           ,   2,      -761.9,      -257.6
"Capacitor.CAP1"        ,   1,         0.0,      -203.3,         0.0,         0.0,         0.0,         0.0
"Capacitor.CAP1"        ,   2,         0.0,         0.0
"Capacitor.CAP2"        ,   1,         0.0,       -29.0,         0.0,         0.0,         0.0,         0.0
"Capacitor.CAP2"        ,   2,         0.0,         0.0
"Load.671"              ,   1,       866.2,       495.0
"Load.634A"             ,   1,       120.0,        82.5
"Load.634B"             ,   1,        90.0,        67.5
"Load.634C"             ,   1,        90.0,        67.5
"Load.645"              ,   1,       127.5,        93.8
"Load.646"              ,   1,       172.5,        99.0
"Load.692"              ,   1,       127.5,       113.2
"Load.675A"             ,   1,       363.7,       142.5
"Load.675B"             ,   1,        51.0,        45.0
"Load.675C"             ,   1,       217.5,       159.0
"Load.611"              ,   1,       127.5,        60.0
"Load.652"              ,   1,        96.0,        64.5
"PVSystem.PV675"        ,   1,         0.0,         0.0
