hour, t(sec), V1, VAngle1, I1, IAngle1
1, 0.00000, 2380.22, 118.187, 43.5491, -72.0878
2, 0.00000, 2381.89, 118.299, 39.7196, -70.4869
3, 0.00000, 2383.71, 118.409, 35.9201, -68.5681
4, 0.00000, 2400.97, 118.544, 31.9579, -65.9219
5, 0.00000, 2402.44, 118.664, 28.3131, -62.9668
6, 0.00000, 2386.78, 118.598, 32.1578, -66.1292
7, 0.00000, 2354.57, 118.404, 44.0763, -72.2166
8, 0.00000, 2322.77, 118.25, 56.5842, -75.7971
9, 0.00000, 2305.53, 118.136, 69.1016, -78.0189
10, 0.00000, 2290.31, 118.114, 77.7174, -79.1045
11, 0.00000, 2271.55, 117.98, 85.9042, -80.0627
12, 0.00000, 2270.65, 117.925, 89.9373, -80.443
13, 0.00000, 2252.69, 117.75, 93.184, -80.9098
14, 0.00000, 2248.42, 117.623, 97.0179, -81.3084
15, 0.00000, 2262.28, 117.605, 93.6256, -81.0573
16, 0.00000, 2273.87, 117.49, 90.0797, -80.879
17, 0.00000, 2286.48, 117.39, 86.0027, -80.614
18, 0.00000, 2259.62, 116.963, 93.5031, -81.6989
19, 0.00000, 2208.88, 116.552, 103.029, -82.8504
20, 0.00000, 2163, 116.213, 112.244, -83.7777
21, 0.00000, 2192.59, 116.398, 106.106, -83.2147
22, 0.00000, 2255.87, 116.814, 93.3309, -81.8462
23, 0.00000, 2316.41, 117.359, 72.7371, -79.2103
24, 0.00000, 2358.39, 117.835, 55.6336, -75.8427
