hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2408.33, -2.87064, 2503.06, -121.159, 2387.9, 118.29, 288.36, 151.437, 117.851, 38.5481, 260.458, -83.0939
2, 0.00000, 2406.58, -2.65512, 2490.46, -121.085, 2388.77, 118.397, 263.562, 152.065, 107.561, 39.7705, 237.689, -82.2229
3, 0.00000, 2420.54, -2.41125, 2492.82, -120.992, 2389.79, 118.502, 237.333, 152.877, 96.7368, 41.4221, 214.45, -81.1537
4, 0.00000, 2418.48, -2.1866, 2480.25, -120.921, 2406.18, 118.631, 212.363, 153.753, 86.3591, 43.2732, 190.836, -79.7721
5, 0.00000, 2416.51, -1.96824, 2482.91, -120.834, 2406.85, 118.747, 187.552, 154.798, 75.9446, 45.7569, 168.225, -78.1821
6, 0.00000, 2405.01, -2.15754, 2481.53, -120.85, 2392.04, 118.686, 208.039, 153.047, 80.6393, 42.0879, 186.232, -80.4262
7, 0.00000, 2385.46, -2.70653, 2477.08, -120.897, 2362.38, 118.508, 270.092, 149.343, 96.3086, 33.2973, 241.612, -85.1104
8, 0.00000, 2383.81, -3.16623, 2488.37, -120.843, 2333.18, 118.371, 326.398, 146.475, 107.631, 25.2788, 293.748, -88.528
9, 0.00000, 2365.3, -3.6728, 2500.52, -120.795, 2318.51, 118.274, 385.864, 144.377, 120.611, 18.7316, 346.625, -90.9175
10, 0.00000, 2361.43, -3.91207, 2499.09, -120.667, 2305.05, 118.263, 418.512, 142.766, 124.674, 12.5033, 376.596, -92.6692
11, 0.00000, 2352.5, -4.28524, 2511.55, -120.665, 2287.96, 118.14, 462.425, 142.093, 137.433, 10.5822, 417.183, -93.4156
12, 0.00000, 2356.04, -4.42418, 2509.5, -120.678, 2287.87, 118.09, 482.614, 141.792, 144.023, 9.81223, 436.078, -93.7476
13, 0.00000, 2353.73, -4.6918, 2520.95, -120.831, 2270.58, 117.92, 514.375, 142.122, 158.932, 12.403, 464.251, -93.38
14, 0.00000, 2333.75, -5.03668, 2518.38, -121.024, 2267.08, 117.797, 550.338, 142.387, 175.131, 14.6619, 493.761, -93.1137
15, 0.00000, 2345.8, -4.87562, 2518.49, -121.062, 2280.25, 117.776, 530.813, 142.995, 172.609, 16.8712, 479.831, -92.5113
16, 0.00000, 2351.7, -4.83856, 2516.79, -121.267, 2291.12, 117.656, 523.264, 144.204, 180.688, 21.6112, 475.364, -91.2807
17, 0.00000, 2357.1, -4.80165, 2515.1, -121.48, 2302.91, 117.55, 516.271, 145.461, 189.988, 25.8763, 469.943, -89.9949
18, 0.00000, 2329.68, -5.5146, 2521.28, -121.97, 2277.57, 117.133, 595.233, 145.884, 235.28, 28.6645, 540.234, -89.5259
19, 0.00000, 2276.78, -6.3256, 2539.22, -122.438, 2228.76, 116.735, 687.671, 145.343, 282.766, 28.9821, 619.281, -89.8119
20, 0.00000, 2236.07, -6.96649, 2538.59, -122.828, 2184.76, 116.411, 760.022, 144.993, 325.374, 28.6108, 685.414, -90.5032
21, 0.00000, 2261.48, -6.57247, 2548.3, -122.602, 2213.11, 116.586, 715.142, 145.305, 300.5, 29.2274, 644.919, -89.9182
22, 0.00000, 2321.67, -5.6894, 2548.32, -122.163, 2273.79, 116.984, 611.547, 146.466, 251.827, 30.6563, 554.704, -88.8876
23, 0.00000, 2369.68, -4.47712, 2530.53, -121.723, 2330.13, 117.501, 471.873, 148.18, 194.482, 32.949, 430.155, -87.1688
24, 0.00000, 2397.09, -3.54396, 2510.47, -121.406, 2368.58, 117.953, 365.526, 149.843, 150.24, 35.5701, 331.603, -85.1955
