hour, t(sec), V1, VAngle1, I1, IAngle1
1, 0.00000, 2404.71, -1.67593, 38.4762, 144.428
2, 0.00000, 2403.65, -1.4755, 35.2856, 144.628
3, 0.00000, 2402.53, -1.27251, 32.0927, 144.831
4, 0.00000, 2401.36, -1.06681, 28.8976, 145.037
5, 0.00000, 2400.41, -0.855002, 25.6969, 145.249
6, 0.00000, 2371.7, -1.12203, 29.2589, 144.982
7, 0.00000, 2324.23, -1.98738, 39.8088, 144.116
8, 0.00000, 2274.16, -2.839, 50.5821, 143.265
9, 0.00000, 2243.76, -3.57749, 59.7991, 142.526
10, 0.00000, 2240.77, -3.68687, 66.3451, 142.417
11, 0.00000, 2227.27, -4.09094, 72.4913, 142.013
12, 0.00000, 2226.96, -4.28355, 75.7748, 141.82
13, 0.00000, 2226.59, -4.4736, 79.0547, 141.63
14, 0.00000, 2225.75, -4.66006, 82.3143, 141.444
15, 0.00000, 2239.14, -4.46551, 79.5497, 141.638
16, 0.00000, 2252.39, -4.26353, 76.7364, 141.84
17, 0.00000, 2277.23, -3.76441, 74.2983, 142.339
18, 0.00000, 2261, -3.88331, 80.4125, 142.221
19, 0.00000, 2228.92, -4.3079, 89.0401, 141.796
20, 0.00000, 2163.69, -5.58112, 95.7161, 140.523
21, 0.00000, 2188, -5.24226, 90.4541, 140.862
22, 0.00000, 2239.64, -4.47268, 79.5695, 141.631
23, 0.00000, 2315.13, -3.35562, 63.2785, 142.748
24, 0.00000, 2361.38, -2.39848, 48.978, 143.705
