hour, t(sec), Tap (pu)
1, 0.00000, 1.04375
2, 0.00000, 1.0375
3, 0.00000, 1.03125
4, 0.00000, 1.025
5, 0.00000, 1.025
6, 0.00000, 1.025
7, 0.00000, 1.025
8, 0.00000, 1.025
9, 0.00000, 1.03125
10, 0.00000, 1.0375
11, 0.00000, 1.04375
12, 0.00000, 1.05
13, 0.00000, 1.05625
14, 0.00000, 1.05625
15, 0.00000, 1.05625
16, 0.00000, 1.05625
17, 0.00000, 1.05625
18, 0.00000, 1.05625
19, 0.00000, 1.05625
20, 0.00000, 1.05625
21, 0.00000, 1.0625
22, 0.00000, 1.0625
23, 0.00000, 1.0625
24, 0.00000, 1.05625
