hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 594.67, 57.476, 350.028, 83.2083, 503.659, 60.0023
2, 0.00000, 566.794, 58.8735, 343.698, 83.652, 483.353, 61.4611
3, 0.00000, 539.269, 60.4099, 337.368, 84.112, 463.346, 63.0451
4, 0.00000, 512.181, 62.1069, 331.07, 84.5898, 443.71, 64.7706
5, 0.00000, 485.672, 63.9928, 328.478, 85.1397, 424.512, 66.6552
6, 0.00000, 505.099, 61.7548, 331.064, 84.6644, 440.196, 64.5958
7, 0.00000, 592.617, 54.2322, 342.979, 78.4124, 501.177, 56.6941
8, 0.00000, 681.869, 48.9501, 358.423, 72.7184, 558.956, 51.1705
9, 0.00000, 767.414, 45.4448, 380.063, 67.6687, 621.138, 47.1618
10, 0.00000, 771.966, 48.3051, 367.586, 79.342, 611.931, 50.8035
11, 0.00000, 819.696, 47.0596, 376.542, 78.5505, 644.381, 49.388
12, 0.00000, 848.332, 46.4952, 383.023, 78.2312, 664.291, 48.7409
13, 0.00000, 877.018, 45.9676, 389.535, 77.9233, 684.27, 48.1331
14, 0.00000, 905.394, 45.4741, 392.342, 77.507, 704.143, 47.5617
15, 0.00000, 887.696, 45.9885, 389.995, 77.9392, 700.647, 48.1548
16, 0.00000, 868.998, 46.5085, 387.526, 78.3721, 688.56, 48.7532
17, 0.00000, 806.759, 51.0867, 379.998, 91.96, 635.026, 54.5435
18, 0.00000, 806.539, 53.8628, 396.864, 103.674, 623.804, 58.1873
19, 0.00000, 836.641, 54.2344, 416.755, 109.689, 635.435, 58.9543
20, 0.00000, 992.533, 43.4854, 405.689, 75.4073, 776.952, 45.2248
21, 0.00000, 959.19, 44.2222, 403.889, 76.3288, 754.698, 46.0966
22, 0.00000, 888.712, 45.9972, 393.917, 77.9943, 709.153, 48.1616
23, 0.00000, 777.968, 49.3239, 380.721, 80.1608, 641.467, 51.851
24, 0.00000, 669.796, 53.3892, 365.857, 81.9002, 567.003, 56.2349
