hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 517.432, 55.4559, 350.035, 83.2084, 456.157, 67.2871
2, 0.00000, 495.57, 57.1329, 343.705, 83.652, 441.124, 68.5281
3, 0.00000, 474.146, 58.9591, 337.375, 84.112, 426.273, 69.8532
4, 0.00000, 453.252, 60.9539, 331.076, 84.5899, 411.653, 71.2714
5, 0.00000, 433.032, 63.1416, 328.483, 85.1398, 397.311, 72.7925
6, 0.00000, 446.425, 60.5312, 331.069, 84.6645, 407.832, 71.1511
7, 0.00000, 516.981, 51.7285, 342.986, 78.4124, 449.814, 63.6902
8, 0.00000, 591.513, 45.4392, 358.433, 72.7184, 488.635, 58.3126
9, 0.00000, 664.828, 41.2597, 380.075, 67.6687, 533.691, 54.1049
10, 0.00000, 655.232, 44.1357, 367.599, 79.342, 521.312, 59.3537
11, 0.00000, 693.953, 42.5668, 376.557, 78.5505, 543.612, 58.0057
12, 0.00000, 717.411, 41.8545, 383.038, 78.2312, 557.865, 57.3809
13, 0.00000, 740.938, 41.1878, 389.551, 77.9233, 572.165, 56.7887
14, 0.00000, 764.226, 40.5626, 392.359, 77.507, 586.377, 56.2266
15, 0.00000, 749.645, 41.1791, 390.011, 77.9392, 586.002, 56.7697
16, 0.00000, 734.561, 41.8357, 387.541, 78.3721, 578.346, 57.3521
17, 0.00000, 671.359, 47.045, 380.013, 91.9601, 539.315, 64.6815
18, 0.00000, 657.068, 50.06, 396.881, 103.674, 529.418, 70.1034
19, 0.00000, 672.647, 50.3166, 416.774, 109.689, 535.306, 71.954
20, 0.00000, 834.473, 37.9739, 405.709, 75.4073, 636.265, 53.8011
21, 0.00000, 807.342, 38.9137, 403.908, 76.3288, 621.991, 54.6845
22, 0.00000, 750.272, 41.1606, 393.934, 77.9943, 593.271, 56.7308
23, 0.00000, 662.885, 45.4249, 380.734, 80.1609, 552.932, 59.9898
24, 0.00000, 576.363, 50.4601, 365.867, 81.9003, 502.105, 63.9938
