hour, t(sec), V1, VAngle1, I1, IAngle1
1, 0.00000, 2242.3, -3.15634, 39.8372, 142.947
2, 0.00000, 2259.89, -2.70612, 36.8356, 143.398
3, 0.00000, 2289.49, -2.44336, 33.6826, 143.66
4, 0.00000, 2320.21, -2.13793, 29.9112, 143.966
5, 0.00000, 2350.39, -1.8443, 26.2457, 144.259
6, 0.00000, 2335.7, -2.10419, 29.7099, 144
7, 0.00000, 2289.94, -2.90629, 40.4024, 143.198
8, 0.00000, 2259.77, -3.61772, 50.2273, 142.486
9, 0.00000, 2232.24, -4.28604, 59.4583, 141.818
10, 0.00000, 2218.65, -4.71218, 65.6178, 141.392
11, 0.00000, 2205.2, -5.12399, 71.6933, 140.98
12, 0.00000, 2204.7, -5.33151, 74.933, 140.772
13, 0.00000, 2204.19, -5.53305, 78.1711, 140.571
14, 0.00000, 2203.66, -5.73027, 81.4061, 140.374
15, 0.00000, 2229.37, -5.51933, 79.1643, 140.585
16, 0.00000, 2256.07, -5.29777, 76.8748, 140.806
17, 0.00000, 2271.01, -5.09034, 74.0732, 141.013
18, 0.00000, 2242.12, -5.50432, 79.6676, 140.6
19, 0.00000, 2214, -6.09344, 88.3778, 140.01
20, 0.00000, 2187.23, -6.65003, 96.8772, 139.454
21, 0.00000, 2225.47, -6.26498, 92.1787, 139.839
22, 0.00000, 2283.33, -5.45411, 81.0311, 140.65
23, 0.00000, 2372.06, -4.14892, 61.7608, 141.955
24, 0.00000, 2418.78, -3.20382, 47.8145, 142.9
